WarName,WarType,ccode,StateName,Side,StartYear,EndYear,Initiator,Outcome,WhereFought,BatDeath,WarNum
Franco-Prussian,1,267,Baden,1,1870,1870,2,1,2,956,58
Franco-Prussian,1,255,Germany,1,1870,1871,2,1,2,44781,58
Franco-Prussian,1,245,Bavaria,1,1870,1870,2,1,2,5600,58
Franco-Prussian,1,220,France,2,1870,1871,1,2,2,152000,58
First Central American,1,90,Guatemala,1,1876,1876,1,1,1,2000,60
First Central American,1,92,El Salvador,2,1876,1876,2,2,1,2000,60
Second Russo-Turkish,1,640,Turkey,2,1877,1878,2,2,11,165000,61
Second Russo-Turkish,1,365,Russia,1,1877,1878,1,1,11,120000,61
War of the Pacific,1,155,Chile,1,1879,1883,1,1,1,3276,64
War of the Pacific,1,135,Peru,2,1879,1883,2,2,1,9672,64
War of the Pacific,1,145,Bolivia,2,1879,1883,2,2,1,920,64
Conquest of Egypt,1,651,Egypt,2,1882,1882,2,2,6,10000,65
Conquest of Egypt,1,200,United Kingdom,1,1882,1882,1,1,6,79,65
Sino-French,1,220,France,1,1884,1885,1,1,7,2100,67
Sino-French,1,710,China,2,1884,1885,2,2,7,10000,67
Second Central American,1,92,El Salvador,1,1885,1885,2,1,1,200,70
Second Central American,1,90,Guatemala,2,1885,1885,1,2,1,800,70
First Sino-Japanese,1,710,China,2,1894,1895,2,2,7,10000,73
First Sino-Japanese,1,740,Japan,1,1894,1895,1,1,7,5000,73
Greco-Turkish,1,350,Greece,2,1897,1897,1,2,2,600,76
Greco-Turkish,1,640,Turkey,1,1897,1897,2,1,2,1400,76
Spanish-American,1,230,Spain,2,1898,1898,2,2,13,775,79
Spanish-American,1,2,United States of America,1,1898,1898,1,1,13,2910,79
Boxer Rebellion,1,365,Russia,1,1900,1900,1,1,7,302,82
Boxer Rebellion,1,740,Japan,1,1900,1900,1,1,7,622,82
Boxer Rebellion,1,2,United States of America,1,1900,1900,1,1,7,21,82
Boxer Rebellion,1,710,China,2,1900,1900,2,2,7,2000,82
Boxer Rebellion,1,200,United Kingdom,1,1900,1900,1,1,7,34,82
Boxer Rebellion,1,220,France,1,1900,1900,1,1,7,24,82
Sino-Russian,1,365,Russia,1,1900,1900,1,1,7,242,83
Sino-Russian,1,710,China,2,1900,1900,2,2,7,3758,83
Russo-Japanese,1,740,Japan,1,1904,1905,1,1,7,80378,85
Russo-Japanese,1,365,Russia,2,1904,1905,2,2,7,71453,85
Third Central American,1,91,Honduras,2,1906,1906,2,2,1,300,88
Third Central American,1,92,El Salvador,2,1906,1906,2,2,1,300,88
Third Central American,1,90,Guatemala,1,1906,1906,1,1,1,400,88
Fourth Central American,1,93,Nicaragua,1,1907,1907,1,1,1,400,91
Fourth Central American,1,92,El Salvador,2,1907,1907,2,2,1,300,91
Fourth Central American,1,91,Honduras,2,1907,1907,2,2,1,300,91
Second Spanish-Moroccan,1,230,Spain,1,1909,1910,1,1,6,2000,94
Second Spanish-Moroccan,1,600,Morocco,2,1909,1910,2,2,6,8000,94
Italian-Turkish,1,325,Italy,1,1911,1912,1,1,6,6000,97
Italian-Turkish,1,640,Turkey,2,1911,1912,2,2,6,14000,97
First Balkan,1,640,Turkey,2,1912,1913,2,2,11,30000,100
First Balkan,1,350,Greece,1,1912,1913,2,1,11,5000,100
First Balkan,1,355,Bulgaria,1,1912,1912,2,1,2,32000,100
First Balkan,1,345,Yugoslavia,1,1912,1912,1,1,11,15000,100
Second Balkan,1,640,Turkey,1,1913,1913,2,1,2,20000,103
Second Balkan,1,345,Yugoslavia,1,1913,1913,2,1,2,18500,103
Second Balkan,1,350,Greece,1,1913,1913,2,1,2,2500,103
Second Balkan,1,355,Bulgaria,2,1913,1913,1,2,2,18000,103
Second Balkan,1,360,Romania,1,1913,1913,2,1,2,1500,103
World War I,1,345,Yugoslavia,1,1914,1918,2,1,2,70000,106
World War I,1,365,Russia,1,1914,1917,2,1,11,1700000,106
World War I,1,355,Bulgaria,2,1915,1918,2,2,2,87500,106
World War I,1,200,United Kingdom,1,1914,1918,2,1,15,908371,106
World War I,1,740,Japan,1,1914,1918,2,1,7,300,106
World War I,1,235,Portugal,1,1916,1918,2,1,2,7222,106
World War I,1,640,Turkey,2,1914,1918,2,2,6,325000,106
World War I,1,211,Belgium,1,1914,1918,2,1,2,13716,106
World War I,1,255,Germany,2,1914,1918,2,2,15,1773700,106
World War I,1,350,Greece,1,1917,1918,2,1,2,5000,106
World War I,1,360,Romania,1,1916,1917,2,1,2,335706,106
World War I,1,300,Austria-Hungary,2,1914,1918,1,2,2,1200000,106
World War I,1,220,France,1,1914,1918,2,1,14,1385000,106
World War I,1,325,Italy,1,1915,1918,2,1,2,650000,106
World War I,1,2,United States of America,1,1917,1918,2,1,2,116516,106
Estonian Liberation,1,366,Estonia,1,1918,1920,2,1,2,3600,107
Estonian Liberation,1,375,Finland,1,1918,1920,2,1,2,150,107
Estonian Liberation,1,365,Russia,2,1918,1920,1,2,2,8000,107
Latvian Liberation,1,255,Germany,1,1918,1919,2,8,2,450,108
Latvian Liberation,1,365,Russia,2,1918,1920,1,2,2,8000,108
Latvian Liberation,1,255,Germany,2,1919,1919,2,2,2,750,108
Latvian Liberation,1,366,Estonia,1,1919,1920,2,1,2,1000,108
Latvian Liberation,1,367,Latvia,1,1918,1920,2,1,2,3046,108
Russo-Polish,1,365,Russia,2,1919,1920,1,2,2,60000,109
Russo-Polish,1,290,Poland,1,1919,1920,2,1,2,40000,109
Hungarian Adversaries,1,310,Hungary,2,1919,1919,2,2,2,6000,112
Hungarian Adversaries,1,315,Czechoslovakia,1,1919,1919,2,1,2,2000,112
Hungarian Adversaries,1,360,Romania,1,1919,1919,1,1,2,3000,112
Second Greco-Turkish,1,640,Turkey,1,1919,1922,2,1,11,20000,115
Second Greco-Turkish,1,350,Greece,2,1919,1922,1,2,11,30000,115
Franco-Turkish,1,640,Turkey,2,1919,1921,2,3,6,35000,116
Franco-Turkish,1,220,France,1,1919,1921,1,3,6,5000,116
Lithuanian-Polish,1,368,Lithuania,2,1920,1920,2,2,2,500,117
Lithuanian-Polish,1,290,Poland,1,1920,1920,1,1,2,500,117
Manchurian,1,365,USSR,1,1929,1929,1,1,7,200,118
Manchurian,1,710,China,2,1929,1929,2,2,7,3000,118
Second Sino-Japanese,1,740,Japan,1,1931,1933,1,1,7,10000,121
Second Sino-Japanese,1,710,China,2,1931,1933,2,2,7,50000,121
Chaco,1,145,Bolivia,2,1932,1935,1,2,1,56661,124
Chaco,1,150,Paraguay,1,1932,1935,2,1,1,36000,124
Saudi-Yemeni,1,670,Saudi Arabia,1,1934,1934,1,1,6,100,125
Saudi-Yemeni,1,678,Yemen Arab Republic,2,1934,1934,2,2,6,2000,125
Conquest of Ethiopia,1,325,Italy,1,1935,1936,1,1,4,4000,127
Conquest of Ethiopia,1,530,Ethiopia,2,1935,1936,2,2,4,16000,127
Third Sino-Japanese,1,710,China,2,1937,1941,2,2,7,750000,130
Third Sino-Japanese,1,740,Japan,1,1937,1941,1,1,7,250000,130
Changkufeng,1,365,USSR,2,1938,1938,2,1,7,1200,133
Changkufeng,1,740,Japan,1,1938,1938,1,2,7,526,133
Nomonhan,1,365,USSR,1,1939,1939,2,1,7,5000,136
Nomonhan,1,712,Mongolia,1,1939,1939,2,1,7,3000,136
Nomonhan,1,740,Japan,2,1939,1939,1,2,7,20000,136
World War II,1,310,Hungary,2,1941,1945,2,2,2,136000,139
World War II,1,211,Belgium,1,1940,1940,2,1,2,9600,139
World War II,1,220,France,2,1940,1941,2,2,2,2500,139
World War II,1,345,Yugoslavia,1,1941,1941,2,1,2,305000,139
World War II,1,375,Finland,2,1941,1944,2,2,2,65000,139
World War II,1,385,Norway,1,1940,1940,2,1,2,3000,139
World War II,1,20,Canada,1,1939,1945,2,1,2,41992,139
World War II,1,2,United States of America,1,1941,1945,2,1,19,405400,139
World War II,1,200,United Kingdom,1,1939,1945,2,1,15,418765,139
World War II,1,210,Netherlands,1,1940,1940,2,1,2,7900,139
World War II,1,325,Italy,2,1940,1943,2,2,14,174500,139
World War II,1,360,Romania,1,1944,1945,2,1,2,10000,139
World War II,1,360,Romania,2,1941,1944,2,2,2,290000,139
World War II,1,355,Bulgaria,2,1941,1944,2,2,2,9000,139
World War II,1,355,Bulgaria,1,1944,1945,2,1,2,1000,139
World War II,1,350,Greece,1,1940,1941,2,1,2,18300,139
World War II,1,140,Brazil,1,1944,1945,2,1,2,1000,139
World War II,1,325,Italy,1,1943,1945,2,1,14,52400,139
World War II,1,900,Australia,1,1939,1945,2,1,16,33826,139
World War II,1,920,New Zealand,1,1939,1945,2,1,16,12200,139
World War II,1,365,USSR,1,1941,1945,2,1,12,7500000,139
World War II,1,255,Germany,2,1939,1945,1,2,14,3500000,139
World War II,1,290,Poland,1,1939,1939,2,1,2,320000,139
World War II,1,220,France,1,1939,1940,2,1,2,210824,139
World War II,1,740,Japan,2,1941,1945,2,2,17,1740000,139
World War II,1,712,Mongolia,1,1945,1945,2,1,7,3000,139
World War II,1,710,China,1,1941,1945,2,1,7,1350000,139
World War II,1,560,South Africa,1,1939,1945,2,1,4,8700,139
World War II,1,530,Ethiopia,1,1941,1941,2,1,4,5000,139
Russo-Finnish,1,375,Finland,2,1939,1940,2,2,2,24923,142
Russo-Finnish,1,365,USSR,1,1939,1940,1,1,2,126875,142
Franco-Thai,1,220,France,2,1940,1941,2,2,7,700,145
Franco-Thai,1,800,Thailand,1,1940,1941,1,1,7,700,145
First Kashmir,1,750,India,1,1947,1949,1,6,7,2500,147
First Kashmir,1,770,Pakistan,2,1947,1949,2,6,7,1000,147
Arab-Israeli,1,666,Israel,1,1948,1948,2,1,6,3000,148
Arab-Israeli,1,651,Egypt,2,1948,1948,2,2,6,2000,148
Arab-Israeli,1,652,Syria,2,1948,1948,2,2,6,1000,148
Arab-Israeli,1,660,Lebanon,2,1948,1948,2,2,6,500,148
Arab-Israeli,1,663,Jordan,2,1948,1948,1,2,6,1000,148
Arab-Israeli,1,645,Iraq,2,1948,1948,2,2,6,500,148
Korean,1,710,China,2,1950,1953,2,6,7,422612,151
Korean,1,211,Belgium,1,1951,1953,2,6,7,97,151
Korean,1,20,Canada,1,1950,1953,2,6,7,309,151
Korean,1,100,Colombia,1,1951,1953,2,6,7,140,151
Korean,1,200,United Kingdom,1,1950,1953,2,6,7,710,151
Korean,1,210,Netherlands,1,1951,1953,2,6,7,111,151
Korean,1,350,Greece,1,1951,1953,2,6,7,169,151
Korean,1,220,France,1,1951,1953,2,6,7,288,151
Korean,1,640,Turkey,1,1950,1953,2,6,7,717,151
Korean,1,840,Philippines,1,1950,1953,2,6,7,92,151
Korean,1,800,Thailand,1,1951,1953,2,6,7,114,151
Korean,1,731,North Korea,2,1950,1953,1,6,7,316579,151
Korean,1,530,Ethiopia,1,1951,1953,2,6,7,120,151
Korean,1,900,Australia,1,1950,1953,2,6,7,291,151
Korean,1,732,South Korea,1,1950,1953,2,6,7,113248,151
Korean,1,2,United States of America,1,1950,1953,2,6,7,54487,151
Off-shore Islands,1,710,China,1,1954,1955,1,1,7,1003,153
Off-shore Islands,1,713,Taiwan,2,1954,1955,2,2,7,1367,153
Sinai War,1,220,France,1,1956,1956,2,1,6,10,155
Sinai War,1,666,Israel,1,1956,1956,1,1,6,189,155
Sinai War,1,651,Egypt,2,1956,1956,2,2,6,3000,155
Sinai War,1,200,United Kingdom,1,1956,1956,2,1,6,22,155
Soviet Invasion of Hungary,1,310,Hungary,2,1956,1956,2,2,2,926,156
Soviet Invasion of Hungary,1,365,USSR,1,1956,1956,1,1,2,1500,156
IfniWar,1,220,France,1,1958,1958,2,1,6,0,158
IfniWar,1,230,Spain,1,1957,1958,2,1,6,122,158
IfniWar,1,600,Morocco,2,1957,1958,1,2,6,1000,158
Taiwan Straits,1,710,China ,1,1958,1958,1,6,7,300,159
Taiwan Straits,1,713,Taiwan ,2,1958,1958,2,6,7,1500,159
Assam,1,750,India,2,1962,1962,2,2,7,1353,160
Assam,1,710,China ,1,1962,1962,1,1,7,500,160
"Vietnam War, Phase 2",1,2,United States of America,2,1965,1973,1,2,7,58153,163
"Vietnam War, Phase 2",1,811,Cambodia,2,1970,1975,2,2,7,2500,163
"Vietnam War, Phase 2",1,732,South Korea,2,1965,1973,2,2,7,4687,163
"Vietnam War, Phase 2",1,840,Philippines,2,1966,1973,2,2,7,1000,163
"Vietnam War, Phase 2",1,817,South Vietnam,2,1965,1975,2,2,7,254257,163
"Vietnam War, Phase 2",1,816,Vietnam,1,1965,1975,2,1,7,700000,163
"Vietnam War, Phase 2",1,800,Thailand,2,1967,1973,2,2,7,351,163
"Vietnam War, Phase 2",1,900,Australia,2,1965,1972,2,2,7,494,163
Second Kashmir,1,750,India,2,1965,1965,2,2,7,3261,166
Second Kashmir,1,770,Pakistan,1,1965,1965,1,1,7,3800,166
Six Day War,1,666,Israel,1,1967,1967,1,1,6,1000,169
Six Day War,1,651,Egypt,2,1967,1967,2,2,6,10000,169
Six Day War,1,663,Jordan,2,1967,1967,2,2,6,6100,169
Six Day War,1,652,Syria,2,1967,1967,2,2,6,2500,169
"Second Laotian, Phase 2",1,2,United States of America,2,1968,1973,2,2,7,375,170
"Second Laotian, Phase 2",1,800,Thailand,2,1970,1973,2,2,7,,170
"Second Laotian, Phase 2",1,812,Laos,2,1968,1973,2,2,7,11250,170
"Second Laotian, Phase 2",1,816,Vietnam,1,1968,1973,1,1,7,2250,170
War of Attrition,1,651,Egypt,2,1969,1970,1,6,6,5000,172
War of Attrition,1,666,Israel,1,1969,1970,2,6,6,368,172
Football War,1,91,Honduras,2,1969,1969,2,2,1,1200,175
Football War,1,92,El Salvador,1,1969,1969,1,1,1,700,175
Communist Coalition,1,816,Vietnam,1,1970,1971,1,4,7,400,176
Communist Coalition,1,2,United States of America,2,1970,1971,2,4,7,125,176
Communist Coalition,1,811,Cambodia,2,1970,1971,2,4,7,5000,176
Communist Coalition,1,817,South Vietnam,2,1970,1971,2,4,7,1000,176
Bangladesh,1,750,India,1,1971,1971,2,1,7,3241,178
Bangladesh,1,770,Pakistan,2,1971,1971,1,2,7,7982,178
Yom Kippur War,1,651,Egypt,2,1973,1973,1,2,6,7700,181
Yom Kippur War,1,670,Saudi Arabia,2,1973,1973,2,2,6,100,181
Yom Kippur War,1,666,Israel,1,1973,1973,2,1,6,2838,181
Yom Kippur War,1,663,Jordan,2,1973,1973,2,2,6,23,181
Yom Kippur War,1,652,Syria,2,1973,1973,1,2,6,3500,181
Yom Kippur War,1,645,Iraq,2,1973,1973,2,2,6,278,181
Turco-Cypriot,1,640,Turkey,1,1974,1974,1,1,2,1000,184
Turco-Cypriot,1,352,Cyprus,2,1974,1974,2,2,2,500,184
War over Angola,1,40,Cuba,1,1975,1976,2,4,4,1500,186
War over Angola,1,560,South Africa,2,1975,1976,1,4,4,100,186
War over Angola,1,490,Democratic Republic of the Congo,2,1975,1976,2,4,4,100,186
War over Angola,1,540,Angola,1,1975,1976,2,4,4,1000,186
"Second Ogaden War, Phase 2",1,530,Ethiopia,1,1977,1978,2,4,4,1800,187
"Second Ogaden War, Phase 2",1,40,Cuba,1,1977,1978,2,4,4,700,187
"Second Ogaden War, Phase 2",1,520,Somalia,2,1977,1978,1,4,4,8000,187
Vietnamese-Cambodian,1,816,Vietnam,1,1977,1979,2,4,7,3000,189
Vietnamese-Cambodian,1,811,Cambodia,2,1977,1979,1,4,7,5000,189
Ugandian-Tanzanian,1,500,Uganda,2,1978,1979,1,2,4,1500,190
Ugandian-Tanzanian,1,510,Tanzania,1,1978,1979,2,1,4,1000,190
Ugandian-Tanzanian,1,620,Libya,2,1979,1979,2,2,4,500,190
Sino-Vietnamese Punitive,1,710,China,1,1979,1979,1,1,7,13000,193
Sino-Vietnamese Punitive,1,816,Vietnam,2,1979,1979,2,2,7,8000,193
Iran-Iraq,1,645,Iraq,2,1980,1988,1,6,6,500000,199
Iran-Iraq,1,630,Iran,1,1980,1988,2,6,6,750000,199
Falkland Islands,1,200,United Kingdom,1,1982,1982,2,1,1,255,202
Falkland Islands,1,160,Argentina,2,1982,1982,1,2,1,746,202
War over Lebanon,1,666,Israel,1,1982,1982,1,6,6,455,205
War over Lebanon,1,652,Syria,2,1982,1982,2,6,6,1200,205
War over the Aouzou Strip,1,483,Chad,1,1986,1987,1,1,18,1000,207
War over the Aouzou Strip,1,620,Libya,2,1986,1987,2,2,18,7000,207
Sino-Vietnamese Border War,1,816,Vietnam,2,1987,1987,2,6,7,2200,208
Sino-Vietnamese Border War,1,710,China,1,1987,1987,1,6,7,1800,208
Gulf War,1,690,Kuwait,1,1990,1991,2,1,6,1000,211
Gulf War,1,2,United States of America,1,1991,1991,2,1,6,376,211
Gulf War,1,20,Canada,1,1991,1991,2,1,6,0,211
Gulf War,1,200,United Kingdom,1,1991,1991,2,1,6,24,211
Gulf War,1,325,Italy,1,1991,1991,2,1,6,0,211
Gulf War,1,600,Morocco,1,1991,1991,2,1,6,0,211
Gulf War,1,645,Iraq,2,1990,1991,1,2,6,40000,211
Gulf War,1,651,Egypt,1,1991,1991,2,1,6,14,211
Gulf War,1,698,Oman,1,1991,1991,2,1,6,0,211
Gulf War,1,220,France,1,1991,1991,2,1,6,2,211
Gulf War,1,696,United Arab Emirates,1,1991,1991,2,1,6,6,211
Gulf War,1,694,Qatar,1,1991,1991,2,1,6,0,211
Gulf War,1,670,Saudi Arabia,1,1991,1991,2,1,6,44,211
Gulf War,1,652,Syria,1,1991,1991,2,1,6,0,211
Bosnian Independence,1,344,Croatia,1,1992,1992,2,4,2,500,215
Bosnian Independence,1,346,Bosnia,1,1992,1992,2,4,2,2850,215
Bosnian Independence,1,345,Yugoslavia,2,1992,1992,1,4,2,1890,215
Azeri-Armenian,1,373,Azerbaijan,2,1993,1994,2,2,2,8500,216
Azeri-Armenian,1,371,Armenia,1,1993,1994,1,1,2,5500,216
Cenepa Valley,1,130,Ecuador,2,1995,1995,1,3,1,550,217
Cenepa Valley,1,135,Peru,1,1995,1995,2,3,1,950,217
Badme Border,1,531,Eritrea,1,1998,2000,1,6,4,50000,219
Badme Border,1,530,Ethiopia,2,1998,2000,2,6,4,70000,219
War for Kosovo,1,640,Turkey,1,1999,1999,1,1,2,0,221
War for Kosovo,1,325,Italy,1,1999,1999,1,1,2,0,221
War for Kosovo,1,200,United Kingdom,1,1999,1999,1,1,2,0,221
War for Kosovo,1,2,United States of America,1,1999,1999,1,1,2,2,221
War for Kosovo,1,210,Netherlands,1,1999,1999,1,1,2,0,221
War for Kosovo,1,220,France,1,1999,1999,1,1,2,0,221
War for Kosovo,1,345,Yugoslavia,2,1999,1999,2,2,2,5000,221
War for Kosovo,1,255,Germany,1,1999,1999,1,1,2,0,221
Kargil War,1,750,India,1,1999,1999,2,1,7,474,223
Kargil War,1,770,Pakistan,2,1999,1999,1,2,7,698,223
Invasion of Afghanistan,1,20,Canada,1,2001,2001,2,4,7,0,225
Invasion of Afghanistan,1,220,France,1,2001,2001,2,4,7,0,225
Invasion of Afghanistan,1,200,United Kingdom,1,2001,2001,1,4,7,0,225
Invasion of Afghanistan,1,2,United States of America,1,2001,2001,1,4,7,2,225
Invasion of Afghanistan,1,900,Australia,1,2001,2001,2,4,7,0,225
Invasion of Afghanistan,1,700,Afghanistan,2,2001,2001,2,4,7,4000,225
Invasion of Iraq,1,900,Australia,1,2003,2003,1,4,6,0,227
Invasion of Iraq,1,200,United Kingdom,1,2003,2003,1,4,6,33,227
Invasion of Iraq,1,2,United States of America,1,2003,2003,1,4,6,140,227
Invasion of Iraq,1,645,Iraq,2,2003,2003,2,4,6,7000,227
