Trick,2004,35mm film (color |  silent),0:59,Gift of Clarissa Alcock Bronfman |  Michael Lynne and The Contemporary Art Council of The Museum of Modern Art,Installation,Media and Performance Art,5/1/2006,Y,102486
The Best Decision Ever Made,2004,Video (color |  sound),17:40,Acquired through the generosity of Susan Jacoby,Video,Media and Performance Art,1/18/2006,Y,102792
Turn On,2004,Video (color |  sound),3:33,Fund for the Twenty-First Century,Video,Media and Performance Art,6/5/2006,Y,102826
Journey to the Moon,2003,35mm and 16mm film transferred to video (black and white |  sound),7:10,Gift of Kathy and Richard S. Fuld |  Jr. |  Agnes Gund and Daniel Shapiro |  Marie-Josée and Henry R. Kravis |  and David Rockefeller in memory of Peter Haas,Installation,Media and Performance Art,4/15/2006,Y,102864
Modern Navigation,2002,Two-channel video (color |  silent),13:03  and 12:40 ,Celeste Bartos,Installation,Media and Performance Art,4/20/2005,Y,102865
MoMA on Wheels,2002,Video (color |  silent),12:05,Celeste Bartos Funds,Installation,Media and Performance Art,4/20/2005,Y,102866
Micro and Soft on Macintosh Apple,2004,Video (color |  silent),4:01,Acquired through the generosity of Lois Plehn,Video,Media and Performance Art,7/2/2005,Y,102867
First Day of Spring,2005,16mm film (color |  sound),7,Fund for the Twenty-First Century,Installation,Media and Performance Art,,Y,102889
Lekcja Spiewu (Singing Lesson II),2002,Video (color |  sound),16:30,Fund for the Twenty-First Century,Installation,Media and Performance Art,6/2/2006,Y,102891
Burn,2002,Video (color |  sound),10,Fund for the Twenty-First Century,Installation,Media and Performance Art,,Y,103080
Outerborough,2005,35mm film (black and white |  silent),9,Purchase,Film,Film,1/24/2005,Y,104617
Farishtay kifti rost (Angel on the Right),2002,35mm film (color |  sound),93,Gift of Global Film Initiative,Film,Film,6/21/2005,Y,104618
Rachida,2002,35mm film (color |  sound),100,Gift of Global Film Initiative,Film,Film,6/21/2005,Y,104619
Belle de jour,1967,35mm film (color |  sound),100,Gift of Miramax Films,Film,Film,5/3/2005,Y,104627
Bright Leaves,2003,35mm film (color |  sound),107,Purchase from the Artist,Film,Film,9/1/2005,Y,104628
Clerks,1994,35mm film (black and white |  sound),91,Gift of Miramax Films,Film,Film,4/4/2005,Y,104629
Colorado Legend,1961,16mm film (color |  sound),11,Gift of the Artist,Film,Film,1/18/2005,Y,104630
Command Z,2004,35mm film (color |  sound),5,Gift of the Artist,Film,Film,1/24/2005,Y,104631
Default Averted,1975,16mm film (black and white |  sound),20,Gift of Yvonne Jacquette Burckhardt,Film,Film,3/30/2005,Y,104632
Die Another Day,2002,35mm film (color |  sound),132,Courtesy Eon Productions |  Barbara Broccoli and Michael G. Wilson,Film,Film,4/5/2005,Y,104633
Everything Put Together,2000,35mm film (color |  sound),89,Gift of Furst Films,Film,Film,5/25/2005,Y,104634
Gimme Shelter,1970,16mm film (color |  sound),90,Purchase.,Film,Film,4/15/2005,Y,104635
Gösta Berlings Saga,1924,35mm film (black and white |  silent),137,Purchase,Film,Film,6/22/2005,Y,104636
Kamikaze 1989,1981,35mm film (color |  sound),105,Gift of Regina Ziegler |  Ziegler Film GmbH & Co.,Film,Film,1/26/2005,Y,104637
Mononoke-hime (Princess Mononoke),1997,35mm film (color |  sound),133,Gift of Miramax Films,Film,Film,4/18/2005,Y,104638
Off the Map,2003,35mm film (color |  sound),111,Gift of Paul Cohen |  OTM Distribution LLC,Film,Film,5/1/2005,Y,104639
Personal Velocity: Three Portraits,2002,35mm film (color |  sound),86,Gift of Ben Heller,Film,Film,12/1/2005,Y,104640
Silent Tears,1997,16mm film (color |  sound),17,Gift of the Artist,Film,Film,6/24/2005,Y,104641
Toy Story,1995,35mm film (color |  sound),81,Gift of Pixar Animation Studios |  Walt Disney Pictures,Film,Film,12/28/2005,Y,104642
The Woodsman,2004,35mm film (color |  sound),86,Gift of Ben Heller,Film,Film,1/12/2006,Y,104643
Black and White Tapes,1970-1975,Thirteen videos (black and white |  sound),32:50:00,Acquired through the generosity of Barbara Wise,Video,Media and Performance Art,8/30/2005,Y,105209
Whipping the Wall with Paint,1975,Video (black and white |  sound),2:14,Acquired through the generosity of Barbara Wise,Video,Media and Performance Art,8/30/2005,N,106176
Five,2004,Video (color |  sound),74,,Video,Film,11/1/2004,N,106994
Laughter,1930,35mm film (black and white |  sound),79,Acquired from the Museum of the City of New York,Film,Film,1/1/1977,Y,107277
The Lament of the Sugar Bush Man,1987,Video (color |  sound),12,Purchase,Video,Media and Performance Art,12/1/1988,Y,107278
Theme Song,1973,Video (black and white |  sound),33:15:00,Gift of the artist,Video,Media and Performance Art,6/1/1988,Y,107279
Martina's Playhouse,1989,Regular 8mm film (color |  sound),20,Acquired from the Artist,Film,Film,3/1/2000,Y,107280
Zelig,1983,35mm film (black and white and color |  sound),79,Acquired from the Artist,Film,Film,1/1/1994,Y,107281
Broadway Danny Rose,1984,35mm film (black and white |  sound),84,Acquired from the Artist,Film,Film,1/1/1997,Y,107282
O Superman,1983,Video (color |  sound),8,Gift of Warner Bros. Records,Video,Media and Performance Art,1/1/1982,Y,107283
Media Burn,1975-2003,Video (color |  sound),23:02,Acquired through the generosity of Celeste Bartos,Video,Media and Performance Art,11/18/1980,Y,107284
From the Archives of Modern Art,1987,Video (black and white |  sound),18,Gift of the Richard Florsheim Art Fund,Video,Media and Performance Art,5/12/1998,Y,107285
Merce by Merce by Paik Part One: Blue Studio: Five Segments,1975-1976,Video (color |  sound),15:38,Acquired through the generosity of Barbara Pine,Video,Media and Performance Art,2/5/1979,Y,107308
Baobab,2000,35mm film (color |  sound),25,Acquired from the Artist,Film,Film,5/1/2001,Y,107309
The Dominatrix Sleeps Tonight,1984,Video (color |  sound),3:36,Gift of Streetwise Records,Video,Media and Performance Art,1/2/1986,Y,107310
The Coward,1915,35mm film (black and white |  silent),70,Preserved with funding from the National Endowment for the Arts and National Film Preservation  Foundation,Film,Film,1/1/1940,Y,107315
Salt of the Earth,1954,35mm film (black and white |  silent),90,Gift of Paul Jarrico,Film,Film,8/1/1991,Y,107328
Near Dark,1987,35mm film (color |  sound),94,Gift of the Artist,Film,Film,8/29/1988,Y,107329
Westinghouse Works,1904,35mm film (black and white |  silent),17,Gift of Actinograph Corp.,Film,Film,1/1/1939,Y,107330
Interior N.Y. Subway |  14th Street to 42nd Street,1905,35mm film (black and white |  silent),4,Gift of Actinograph Corp.,Film,Film,1/1/1939,Y,107331
Patagonia,1996,Video (color |  sound),28:30:00,Gift of the artists,Video,Media and Performance Art,1/1/2001,Y,107332
Born in Flames,1983,16mm film (color |  sound),80,Acquired from the Artist,Film,Film,10/1/1984,Y,107333
Lazybones,1925,35mm film (black and white |  silent),79,Gift of Twentieth Century-Fox,Film,Film,5/1/1970,Y,107335
Seventh Heaven,1927,35mm film (black and white |  sound),129,Gift of Twentieth Century-Fox and Janet Gaynor. Preserved with funding from the Celeste Bartos Film Preservation Fund and The Louis B. Mayer Foundation,Film,Film,1/1/1955,Y,107336
Street Angel,1928,35mm film (black and white |  sound),102,Gift of Twentieth Century-Fox. Preserved with funding from the Louis B. Mayer Foundation,Film,Film,6/1/1971,Y,107337
Commingled Containers,1997,16mm film (color |  silent) ,3,Gift of the Artist,Film,Film,2/1/1997,Y,107338
The Bed,1968,16mm film (color |  sound),17,Acquired from the Artist,Film,Film,5/1/1968,Y,107341
Stark Love,1927,35mm film (black and white |  silent),70,Gift of Ceskoslovensky Filmovy Archiv. Restored with funding from the American Film Institute,Film,Film,1/1/1969,Y,107342
Le Charme discret de la bourgeoisie (The Discreet Charm of the Bourgeoisie),1972,35mm film (color |  sound),101,Acquired from Rialto Pictures LLC,Film,Film,1/9/2001,Y,107345
Road to Nowhere,1985,Video (color |  sound)  ,4:04,Gift of Warner Bros. Records,Video,Media and Performance Art,1/2/1986,Y,107347
NEO-GEO: An American Purchase,1989,Video (color |  sound),9:17,Acquired through the generosity of The Contemporary Arts Council of The Museum of Modern Art,Video,Media and Performance Art,7/9/1991,Y,107348
American Madness,1932,16mm film (black and white |  sound),76,Gift of the Artist with permission of Columbia Studios.,Film,Film,1/26/1972,Y,107357
Mayhem,1987,16mm film (black and white |  sound),17,Acquired from the Artist,Film,Film,10/1/1988,Y,107369
Lost Book Found,1996,Video (color |  sound),37,Gift of the Jerome Foundation in honor of its founder |  Jerome Hill,Video,Media and Performance Art,10/6/1999,Y,107377
Beneath the Skin,1981,Video (color |  sound),12:05,,Video,Media and Performance Art,7/23/1984,N,107378
Rose Hobart,c. 1936,16mm film (color |  silent with music track),20,Gift of The Joseph and Robert Cornell Memorial Foundation,Film,Film,9/1/1979,Y,107381
The Aviary,1954-55,16mm film (black and white |  silent),11,Gift of The Joseph and Robert Cornell Memorial Foundation,Film,Film,10/1/1995,Y,107385
Made for Each Other,1939,35mm film (black and white |  sound),93,Gift of ABC Pictures International,Film,Film,6/1/1978,Y,107388
Bleeding Heart (Corazón Sangrante),1993,Video (color |  sound),3:48,Gift of the artist,Video,Media and Performance Art,8/18/2000,Y,107390
A Bill of Divorcement,1932,35mm film (black and white |  sound),74,Gift of ABC Pictures International.,Film,Film,,Y,107391
The Adventures of Robin Hood,1938,35mm film (color |  sound),102,Gift of Turner Entertainment. Preserved with funding from the Celeste Bartos Film Preservation Fund,Film,Film,3/15/1989,Y,107397
The House of Mirth,2000,35mm film (color |  sound),140,Acquired from Three River Films and Olivia Stewart,Film,Film,7/1/2002,Y,107401
At Land,1944,16mm film (black and white |  sound),15,Purchase from the Artist’s Estate,Film,Film,1/1/1970,Y,107406
A Study in Choreography for Camera,1945,16mm film (black and white |  silent),3,Purchase from the Artist’s Estate,Film,Film,1/1/1970,Y,107407
Adorable,1933,35mm film (black and white |  sound),88,Gift of Twentieth Century-Fox. Preserved with funding from the Louis B. Mayer Foundation,Film,Film,12/1/1972,Y,107410
Alaya,1976–1987,16mm film (color |  silent),28,Acquired from the Artist,Film,Film,6/1/1991,Y,107413
Ordet,1955,35mm film (black and white |  sound),124,Gift of Thomas J. Brandon,Film,Film,2/1/1978,Y,107416
The Iron Mask,1929,35mm film (black and white |  silent with sound sequences),97,Gift of Douglas Fairbanks,Film,Film,1/1/1938,Y,107419
Scape-Mates,1972,Video (color |  sound),29,Purchase,Video,Media and Performance Art,12/13/1985,Y,107431
Giulietta degli spiriti (Juliet of the Spirits),1965,35mm film (color |  sound),137,Acquired from Mediaset S.p.A.,Film,Film,5/6/2002,Y,107438
The Mollycoddle,1920,35mm film (black and white |  silent),81,Gift of Douglas Fairbanks. Restored with funding from the National Film Preservation Foundation and The Film Foundation,Film,Film,1/1/1938,Y,107445
The Hired Hand,1971,35mm film (color |  sound),90,Acquired from Frank Mazzola,Film,Film,7/9/2003,Y,107449
The Iron Horse,1924,16mm film (black and white |  silent),114,Gift of Twentieth Century-Fox. Preserved with funding from the Celeste Bartos Film Preservation Fund and The Film Foundation,Film,Film,1/1/1935,Y,107451
Art Herstory,1974,Video (color |  sound),22,Given anonymously,Video,Media and Performance Art,6/15/1999,Y,107457
MIROKU-Maitreya,1984,Video (color |  sound),4,Gift of the artist,Video,Media and Performance Art,1/1/1986,Y,107458
Serene Velocity,1970,16mm film (color |  silent),23,Gift of the Artist. Preserved with funding from the National Film Preservation Foundation,Film,Film,,Y,107462
Side/Walk/Shuttle,1991,35mm film (color |  sound),41,Gift of the Artist,Film,Film,,Y,107463
Test Tube,1979,Video (color |  sound),28:15:00,Purchase,Video,Media and Performance Art,11/3/1999,Y,107464
Le Mépris (Contempt),1963,35mm film (color |  sound),103,,Film,Film,5/1/1970,Y,107466
Puissance de la parole,1988,Video (color |  sound),25,Acquired through the generosity of France Telecom,Video,Media and Performance Art,12/15/1993,Y,107468
The Old Place,1999,Video (color |  sound),46:24:00,Commissioned by The Museum of Modern Art,Video,Media and Performance Art,7/2/2001,Y,107469
Black Fire from Dissonant Landscapes,1986,Video (color |  sound),4:41,Purchase,Video,Media and Performance Art,7/13/1987,Y,107471
Rock My Religion,1983-1984,Video (black and white and color |  sound),55:27:00,Purchase,Video,Media and Performance Art,2/10/1985,Y,107472
A Corner in Wheat,1909,35mm film (black and white |  silent),15,Gift of Actinograph Corp. Preserved with funding from The Lillian Gish Trust for Film Preservation,Film,Film,1/1/1939,Y,107474
The Country Doctor,1909,35mm film (black and white |  silent),15,Gift of Actinograph Corp. Preserved with funding from The Lillian Gish Trust for Film Preservation,Film,Film,1/1/1939,Y,107475
The Lonely Villa,1909,35mm film (black and white |  silent),8,Gift of Actinograph Corp. Preserved with funding from The Lillian Gish Trust for Film Preservation,Film,Film,1/1/1940,Y,107476
The Mended Lute,1909,35mm film (black and white |  silent),15,Gift of Actinograph Corp. Preserved with funding from The Lillian Gish Trust for Film Preservation,Film,Film,1/1/1939,Y,107477
Politician's Love Story,1909,35mm film (black and white |  silent),6,Gift of Actinograph Corp. Preserved with funding from The Lillian Gish Trust for Film Preservation,Film,Film,1/1/1939,Y,107478
The House with Closed Shutters,1910,35mm film (black and white |  silent),17,Gift of Actinograph Corp. Preserved with funding from The Lillian Gish Trust for Film Preservation,Film,Film,1/1/1939,Y,107479
The Battle,1911,35mm film (black and white |  silent),17,Gift of Actinograph Corp. Preserved with funding from The Lillian Gish Trust for Film Preservation,Film,Film,1/1/1975,Y,107480
The Musketeers of Pig Alley,1912,35mm film (black and white |  silent),17,Gift of Actinograph Corp. Preserved with funding from The Lillian Gish Trust for Film Preservation,Film,Film,1/1/1944,Y,107485
An Unseen Enemy,1912,35mm film (black and white |  silent),17,Gift of Actinograph Corp. Preserved with funding from The Lillian Gish Trust for Film Preservation,Film,Film,1/1/1940,Y,107487
Broken Blossoms,1919,35mm film (black and white with color tinting |  silent),89,Acquired from the Artist. Preserved with funding from The Lillian Gish Trust for Film Preservation,Film,Film,1/1/1938,Y,107495
Orphans of the Storm,1921,35mm film (black and white with color tinting |  silent),142,Acquired from the Artist. Restored with funding from The Lillian Gish Trust for Film Preservation,Film,Film,1/1/1938,Y,107498
Mr. Silent Haskins Angel of Hell's Kitchen,1915,16mm film (black and white |  silent),20,Preserved from material on loan from William K. Everson,Film,Film,12/23/1969,Y,107504
Measures of Distance,1988,3/4 tape |  sound |  color,15,Acquired from the Artist and Video Data Bank,Film,Film,,N,107508
His Girl Friday,1940,35mm film (black and white |  sound),92,Gift of Sony Pictures Entertainment in honor of Mary Lea Bandy.,Film,Film,12/5/2006,Y,107510
Albert Schweitzer,1957,35mm film (color |  sound),83,Gift of |  and restoration funded by |  the Jerome Foundation,Film,Film,3/1/1998,Y,107561
Rebecca,1940,35mm film (black and white |  sound),130,Gift of ABC Pictures International. Restored print gift of Walt Disney Pictures,Film,Film,6/1/1978,Y,107564
Witch Madness,2000,35mm film (color |  sound)  ,9,Acquired from the Artist,Film,Film,,Y,107569
Regen (Rain),1929,35mm film (black and white and color |  silent),15,Acquired from the Artist,Film,Film,1/1/1940,Y,107578
Hintertreppe (Backstairs),1921,16mm film (black and white |  silent),40,Gift of Charles L. Turner,Film,Film,10/1/1980,Y,107583
Xiao Wu,1997,35mm film (color |  sound),110,Acquired from Kit-Ming Li with funding from The Junior Associates of The Museum of Modern Art,Film,Film,4/1/1999,Y,107584
My Architect,2003,35mm film (color |  sound),116,Acquired from the Artist,Film,Film,6/27/2003,Y,107588
Third Known Nest,1991-1999,Nine videos (black and white and color |  sound),37:37:00,Gift of the Jerome Foundation in honor of its founder |  Jerome Hill,Video,Media and Performance Art,10/15/2000,Y,107590
The General,1927,35mm film (black and white and color |  silent),80,,Film,Film,,Y,107595
Przypadek (Blind Chance),1982,35mm film (color |  sound),122,Acquired from Film Polski,Film,Film,9/1/1999,Y,107597
Lights Out in Europe,1940,35mm film (black and white |  sound),41,Gift of Gerald N. Goldberger,Film,Film,1/1/1956,Y,107601
Warlock(ing),1971,Video (black and white |  sound),8,Purchase,Video,Media and Performance Art,9/28/1984,Y,107603
My Father,1973-1975,Video (black and white |  sound),15:24,Purchase,Video,Media and Performance Art,4/10/2001,Y,107604
The Love Parade,1929,35mm film (black and white |  sound),109,Acquired from Paramount Pictures,Film,Film,,Y,107626
Ohio to Giverny: Memory of Light,1983,Video (color |  sound),19,Gift of the Jerome Foundation in honor of its founder |  Jerome Hill ,Video,Media and Performance Art,1/28/1999,Y,107630
The Savage Eye,1959,35mm film (black and white |  sound),63,Gift of Trans-Lux Corp.,Film,Film,8/1/1977,Y,107637
All About Eve,1950,35mm film (black and white |  sound),138,Preserved from original materials on loan from Twentieth Century-Fox,Film,Film,1/1/1970,Y,107640
Le Tombeau d'Alexandre (The Last Bolshevik),1993,Video (black and white and color |  sound),120,Gift of the artist,Video,Media and Performance Art,10/5/1993,N,107641
Itam Hakim |  Hopiit (We |  Someone |  the Hopi People),1985,Video (color |  sound),58,Purchase,Video,Media and Performance Art,11/10/1986,Y,107642
Love Affair,1939,35mm film (black and white |  sound),88,Gift of Twentieth Century-Fox. Restored with funding from Celeste Bartos,Film,Film,7/19/1974,Y,107643
Heidi,1992,Video (color |  sound),62:40:00,Purchase,Video,Media and Performance Art,8/15/1999,Y,107644
Begone Dull Care,1949,35mm film (color |  sound),8,Gift of the National Film Board of Canada,Film,Film,,Y,107648
_Untitled_,2001,35mm film (color |  sound),6,Acquired from Dominant 7 Productions,Film,Film,4/24/2002,Y,107652
The Band Wagon,1953,35mm print |  color |  sound,112,Acquired from Warner Bros. with funding from Celeste Bartos,Film,Film,2/10/2003,Y,107658
Mitchell's Death,1977,Video (black and white |  sound),22,Purchase,Video,Media and Performance Art,9/24/1984,Y,107660
Decasia,2001,35mm film (color |  sound),67,Acquired from the Artist,Film,Film,5/1/2002,Y,107661
Lip Sync,1969,Video (black and white |  sound),57,Acquired through the generosity of Barbara Pine,Video,Media and Performance Art,5/9/1975,Y,107669
The Mark of Zorro,1920,35mm film (black and white with color tinting |  silent),97,Gift of Douglas Fairbanks. Restored with funding from The Film Foundation and the Celeste Bartos Film Preservation Fund,Film,Film,1/1/1938,Y,107671
The Distance Between Myself and My Losses,1983,Video (color |  sound),10:11,Purchase,Video,Media and Performance Art,9/15/1984,Y,107674
Global Groove,1973,Video (color |  sound),28:30:00,Gift of the John D. Rockefeller III Foundation,Video,Media and Performance Art,5/9/1975,Y,107679
Herb Schiller Reads the New York Times: 712 Pages of Waste; The Sunday Times,1981,Video (black and white and color |  sound),28,Purchase,Video,Media and Performance Art,10/12/1988,Y,107680
Election,1999,35mm film (color |  sound),103,Gift of Paramount Pictures,Film,Film,3/7/2003,Y,107682
The Great Train Robbery,1903,35mm film (black and white with color tinting |  silent),11,Preserved with funding from the Celeste Bartos Film Preservation Fund |  the National Endowment for the Arts |  and The Film Foundation,Film,Film,1/1/1936,Y,107685
Three American Beauties,1906,35mm film (black and white with hand coloring |  silent),2,Gift of R. L. Giffen,Film,Film,,Y,107688
Aelita,1924,35mm film (black and white |  silent),80,Acquired from Gosfilmofond,Film,Film,2/1/1974,Y,107695
Privilege,1990,16mm film (black and white and color |  sound),103,Purchase from the Artist and Zeitgeist Films,Film,Film,6/1/1991,Y,107697
The Police Tapes,1976,Video (black and white and color |  sound),90,Acquired through the generosity of Barbara Pine,Video,Media and Performance Art,2/5/1979,Y,107700
Hiroshima |  mon amour,1959,35mm film (black and white |  sound),90,Gift of IFC Films,Film,Film,3/3/2008,Y,107705
