WarNum,WarName,WarType,ccode,StateName,Side,StartYear,EndYear,Initiator,Outcome,WhereFought,BatDeath
347,Indian Mutiny,2,,Indian sepoys,2,1857,1859,2,1,7,11000
349,First Franco-Vietnamese,3,,Vietnam,2,1858,1862,1,1,7,1500
350,Netherlands-Bone,3,,Bone,2,1859,1860,1,1,7,500
351,Argentine-Buenos Aires,3,,Buenos Aires,2,1859,1859,1,1,1,500
352,Garibaldi Expedition,3,,Red Shirts,2,1860,1860,2,4,2,4500
353,Spanish-Santo Dominican,2,,Santo Domingo,2,1863,1865,1,2,1,28000
355,British-Maori,2,,New Zealand Maori,2,1863,1866,1,1,9,700
356,Shimonoseki War,3,,Choshu Daimyo,2,1863,1864,2,1,7,5
357,British Umbeyla Campaign,3,,Pathan tribe,2,1863,1863,1,1,7,900
359,Russian-Kokand,3,,Kokand,2,1864,1865,1,1,7,120
360,British-Bhutanese,3,,Bhutan,2,1865,1865,1,1,7,100
361,Russian-Bukharan,3,,Bukhara,2,1866,1866,1,1,7,100
362,British-Ethiopian,3,,Ethiopians,2,1867,1868,1,1,4,400
363,First Spanish-Cuban,2,,Cuba,2,1868,1878,2,1,1,100000
364,Attack on Bahr el-Ghazal,3,,Bahr el-Ghazal,2,1869,1870,1,2,6,
365,Ottoman Conquest of Arabia,3,,Yemen,2,1870,1872,2,1,6,4000
365,Ottoman Conquest of Arabia,3,,Asir,2,1870,1872,2,1,6,4000
365,Ottoman Conquest of Arabia,3,,Hasa,2,1870,1872,2,1,6,4000
366,Second Franco-Algerian,2,,Algeria,2,1871,1872,2,1,6,2686
367,Second British-Ashanti,3,,Ashanti,2,1873,1874,2,1,4,100
369,Second Franco-Vietnamese,3,,Vietnam,2,1873,1874,1,3,7,400
370,First Dutch-Achinese,3,,Aceh,2,1873,1878,2,1,7,12000
371,Kokand Rebellion,3,,Kokand,2,1875,1876,2,1,7,100
372,Egyptian-Ethiopian,3,,Ethiopia,2,1875,1876,1,2,4,4250
373,Serbian-Turkish,3,,Serbia,2,1876,1877,2,4,2,
373,Serbian-Turkish,3,,Montenegro,2,1876,1877,2,4,2,
374,Third British-Xhosa,2,,S. Africa Xhosa,2,1877,1878,2,1,4,200
375,Egypt-Sudanese Slavers,3,,Sudanese Slavers,2,1878,1879,1,1,6,
376,Russo-Turkoman,3,,Turkomans,2,1878,1881,1,1,7,2000
377,Austrian-Bosnian,3,,Bosnia,2,1878,1878,1,1,2,3500
379,Second British-Afghan,3,,Afghanistan,2,1878,1879,1,1,7,10000
380,Second British-Zulu,3,,Zulu,2,1879,1879,1,1,4,2500
381,Gun War,2,,Basuto,2,1880,1881,1,1,4,
382,First Boer War,2,,Transvaal,2,1880,1881,2,2,4,900
383,Franco-Tunisian,3,,Tunisia,2,1881,1882,2,1,6,3500
384,First British-Mahdi,2,,Mahdist Empire,2,1881,1885,2,2,6,25000
385,Third Franco-Vietnamese,3,,Vietnam,2,1882,1884,1,4,7,4500
385,Third Franco-Vietnamese,3,,Black Flag,2,1882,1884,1,4,7,4500
385,Third Franco-Vietnamese,3,710,China,2,1883,1884,2,4,7,1000
386,First Franco-Madagascan,3,,Madagasar,2,1883,1885,1,1,4,300
387,Third British-Burmese,3,,Burma,2,1885,1889,1,1,7,3000
389,French-Mandinka,3,,Mandinka,2,1885,1886,1,1,4,1000
390,Russo-Afghan,3,,Afghanistan,2,1885,1885,1,3,7,1000
391,Serbian-Bulgarian,3,,Bulgaria,2,1885,1885,1,2,2,2000
392,First Italian-Ethiopian,3,,Ethiopia,2,1887,1887,1,3,4,1000
393,Zambezi Conquest,3,,Prazero da Cruz,2,1888,1888,1,1,4,
394,First Franco-Dahomeyan,3,,Dahomey,2,1890,1890,1,1,4,200
395,Franco-Jolof,3,,Jolof,2,1890,1891,1,1,4,100
395,Franco-Jolof,3,,Tukulor,2,1890,1891,1,1,4,100
396,Second Franco-Dahomeyan,3,,Dahomey,2,1892,1893,1,1,4,80
397,Belgian-Tib,3,,Tippu Tib Empire,2,1892,1894,1,1,4,7000
398,Third British-Ashanti,3,,Ashanti,2,1893,1894,2,1,4,200
399,Melilla War,3,,Rif tribes,2,1893,1894,2,1,6,1000
400,Mahdist-Italian,3,,Mahdist Empire,2,1893,1894,2,1,4,270
401,Second Franco-Madagascan,3,,Madagasar,2,1894,1895,2,1,4,6000
402,Second Dutch-Bali,3,,Bali,2,1894,1894,1,1,7,1000
403,Portuguese-Gaza Empire,3,,Gaza Empire,2,1895,1895,1,1,4,50
404,Second Spanish-Cuban,2,,Cuba,2,1895,1898,2,4,1,59000
405,Japan-Taiwanese,2,,Taiwanese,2,1895,1895,2,1,7,4800
406,Mazrui Rebellion,3,,Mazrui clan of Kenya,2,1895,1896,2,1,4,200
407,Second Italian-Ethiopian,3,,Ethiopia,2,1895,1896,1,2,4,9000
409,Second British-Mahdi,3,,Mahdist Empire,2,1896,1899,1,1,6,1200
410,Spanish-Philippine,2,,Philippines,2,1896,1898,2,4,7,4000
411,British-South Nigerian,3,,Nigeria,2,1897,1897,1,1,4,20
412,British-Pathan,2,,Pathans,2,1897,1898,2,1,7,1100
413,Hut Tax,2,,Sierra Leone rebels,2,1898,1898,2,1,4,400
414,American-Philippine,2,,Philippines,2,1899,1902,2,1,7,4500
415,French Conquest of Chad,3,,Rabih az-Zubayr,2,1899,1900,1,1,4,125
416,Second Boer War,3,,Boer Republics,2,1899,1902,2,1,4,22000
417,Last Ashanti War,3,,Ashanti,2,1900,1900,2,1,4,1000
419,Somali Rebellion,2,,Mohammad Abdullah Hassan Dervishes,2,1901,1904,2,1,4,400
420,Bailundu Revolt,3,,Bailundu of Angola,2,1902,1903,2,1,4,
421,Kuanhama Rebellion,3,,Kuanhama of Angola,2,1902,1904,2,6,4,2000
422,British Conquest of Kano  & Sokoto,3,,Kano,2,1903,1903,1,1,4,
422,British Conquest of Kano  & Sokoto,3,,Sokoto,2,1903,1903,1,1,4,
423,South West African Revolt,2,,Herero,2,1904,1906,2,1,4,1800
423,South West African Revolt,2,,Nama,2,1904,1906,2,1,4,1800
424,Second Dutch-Achinese,2,,Aceh,2,1904,1907,2,1,7,13000
425,Younghusband Expedition,3,,Tibet,2,1904,1904,1,1,7,300
426,Maji-Maji Revolt,2,,Maji-Maji in Tanganyika,2,1905,1906,2,1,4,3440
427,Sokoto Uprising,2,,Mahdist rebels,2,1906,1906,2,1,4,80
429,Third British-Zulu,2,,Zulu,2,1906,1906,2,1,4,56
430,Dembos War,3,,Dembos,2,1907,1910,1,1,4,100
431,Anti-Foreign Revolt,3,,Sheikh Ma Al-Ainie,2,1907,1910,1,1,4,150
432,Japan-Korean Guerrillas,2,,Korea,2,1907,1910,2,1,7,136
433,French Conquest of Wadai,3,,Wadai sultanate,2,1909,1911,1,1,4,4000
434,French-Berber,2,,Berbers,2,1912,1912,2,1,6,200
435,First Sino-Tibetan,2,,Tibet,2,1912,1913,2,2,7,2000
436,Moroccan Berber,2,,Berbers,2,1913,1915,1,7,6,900
436,Moroccan Berber,2,,Berbers,2,1913,1914,2,7,6,
437,Moro Rebellion,2,,Moro,2,1913,1913,1,1,7,50
440,Second Sino-Tibetan,3,,Tibet,2,1918,1918,1,6,7,1000
441,Caco Revolt,2,,Caco Rebels,2,1918,1920,2,1,1,98
442,Third British-Afghan,3,,Afghanistan,2,1919,1919,2,3,7,1136
443,First British-Waziristan,3,,Waziristan,2,1919,1920,2,1,7,800
444,Franco-Syrian,3,,Syrians,2,1920,1920,1,1,6,3500
445,Iraqi-British,2,,Iraq,2,1920,1920,2,1,6,1040
446,Conquest of Mongolia,3,,Baron von Ungern-Sternberg White army,2,1920,1921,2,1,7,4000
447,Italian-Sanusi,2,,Sanusi tribe,2,1923,1931,2,1,6,5000
449,Rif Rebellion,2,,Riffs,2,1921,1926,1,1,6,50000
450,Moplah Rebellion,2,,Muslim Moplahs,2,1921,1922,2,1,7,50
451,Franco-Druze,2,,Druze,2,1925,1927,2,1,6,4000
452,Yen Bai Uprising,2,,Vietnamese Nationalists,2,1930,1931,2,1,7,1
453,Saya San's Rebellion,2,,Peasant Rebels,2,1930,1932,2,1,7,140
454,British-Palestinian,2,,Palestinians,2,1936,1936,2,1,6,126
455,Second British-Waziristan,3,,Pathan tribes,2,1936,1938,2,1,7,200
456,Indonesian,2,,Indonesia,2,1945,1946,2,3,7,800
457,French-Indochina,2,,Vietminh,2,1946,1954,2,2,7,94500
459,Third Franco-Madagascan,2,,Madagascar,2,1947,1948,2,1,4,1000
460,Malayan Rebellion,2,,Malayan Communists,2,1948,1957,2,1,7,2400
461,Indo-Hyderabad,3,,Hyderabad,2,1948,1948,1,1,7,10
462,Third Sino-Tibetan,3,,Tibet,2,1950,1950,1,1,7,10000
463,Franco-Tunisian,2,,Tunisia,2,1952,1954,2,2,6,2000
464,British-Mau Mau,2,,Mau Mau,2,1952,1956,2,1,4,600
465,Moroccan Independence,2,,Morocco,2,1953,1956,2,2,6,2000
466,Third Franco-Algerian,2,,Algeria,2,1954,1962,2,2,6,18000
467,French-Cameroon,2,,UPC,2,1957,1958,2,1,4,1000
469,Angolan-Portuguese,2,,Angola,2,1961,1974,2,4,4,4000
471,Mozambique-Portuguese,2,,Mozambique,2,1964,1975,2,2,4,3500
472,"East Timorese,Phase 2",3,,Fretilin,2,1975,1976,1,4,7,12500
472,"East Timorese,Phase 2",3,,UDT,2,1975,1976,1,4,7,12500
473,Namibian,2,,SWAPO-Namibia,2,1975,1988,1,2,4,1100
474,Western Saharan,3,,Polisario,2,1975,1983,2,7,6,9500
474,Western Saharan,3,615,Algeria,2,1976,1976,2,7,6,500
475,Khmer Insurgency,3,,Khmer Rouge,2,1979,1989,1,4,7,25300
476,Soviet Quagmire,3,,Muhajadin,2,1980,1989,2,4,7,40000
477,First PKK in Iraq,3,,PKK in Iraq,2,1991,1992,1,6,6,300
479,Second PKK in Iraq,3,,PKK in Iraq,2,1997,1997,1,6,6,100
480,Al Aqsa Intifada,2,,Palestinians,2,2000,2003,2,1,6,900
481,Afghan Resistance,3,,al-Qaeda,2,2001,,1,5,7,552
481,Afghan Resistance,3,,Taliban,2,2001,,1,5,7,552
482,Iraqi Resistance,3,,al-Qaeda,2,2003,,1,5,6,3985
482,Iraqi Resistance,3,,Iraqi resistence,2,2003,,1,5,6,3985
